                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   362   
Model:        ,Logit           ,  Df Residuals:      ,   342   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1867   
Time:         ,14:01:12        ,  Log-Likelihood:    , -185.85 
converged:    ,True            ,  LL-Null:           , -228.53 
              ,                ,  LLR p-value:       ,2.188e-10
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.5301,    0.311,    1.706, 0.088,   -0.079     1.139
cs_objcs ,    0.3621,    0.860,    0.421, 0.674,   -1.323     2.047
cs_descr ,    0.3074,    0.356,    0.863, 0.388,   -0.391     1.006
cs_casng ,   -0.4715,    0.466,   -1.012, 0.312,   -1.385     0.442
cs_lkout ,   -0.2749,    0.540,   -0.509, 0.610,   -1.333     0.783
cs_cloth ,    1.4641,    1.117,    1.311, 0.190,   -0.724     3.653
cs_drgtr ,   -1.1513,    0.457,   -2.520, 0.012,   -2.047    -0.256
cs_furtv ,    0.5740,    0.330,    1.741, 0.082,   -0.072     1.220
cs_vcrim ,    0.5214,    0.863,    0.604, 0.546,   -1.171     2.213
cs_bulge ,    1.1837,    0.664,    1.783, 0.075,   -0.118     2.485
cs_other ,   -1.4890,    0.322,   -4.629, 0.000,   -2.119    -0.859
race_A   ,    0.1323,    1.490,    0.089, 0.929,   -2.788     3.053
race_B   ,    1.0039,    0.913,    1.099, 0.272,   -0.786     2.794
race_I   ,    1.1119,    1.688,    0.659, 0.510,   -2.197     4.421
race_P   ,    0.3682,    1.030,    0.358, 0.721,   -1.650     2.387
race_Q   ,    0.9086,    0.950,    0.956, 0.339,   -0.954     2.771
race_U   ,    0.4696,    1.537,    0.306, 0.760,   -2.543     3.482
race_W   ,    1.5118,    1.471,    1.028, 0.304,   -1.371     4.395
sex_0    ,   -1.1234,    0.500,   -2.246, 0.025,   -2.104    -0.143
intercept,    0.2082,    0.943,    0.221, 0.825,   -1.641     2.057
