                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   427   
Model:        ,Logit           ,  Df Residuals:      ,   407   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1488   
Time:         ,14:01:13        ,  Log-Likelihood:    , -230.56 
converged:    ,False           ,  LL-Null:           , -270.86 
              ,                ,  LLR p-value:       ,1.473e-09
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    1.1793,    0.324,    3.635, 0.000,    0.543     1.815
cs_objcs ,    0.4585,    0.613,    0.748, 0.454,   -0.742     1.659
cs_descr ,    0.4346,    0.294,    1.477, 0.140,   -0.142     1.011
cs_casng ,    0.3798,    0.433,    0.877, 0.380,   -0.469     1.228
cs_lkout ,   -0.6621,    0.437,   -1.515, 0.130,   -1.519     0.194
cs_cloth ,   -0.4554,    0.795,   -0.573, 0.567,   -2.015     1.104
cs_drgtr ,   -0.9184,    0.373,   -2.460, 0.014,   -1.650    -0.187
cs_furtv ,    0.9861,    0.316,    3.121, 0.002,    0.367     1.605
cs_vcrim ,    0.7296,    0.476,    1.532, 0.125,   -0.204     1.663
cs_bulge ,   29.2769, 5.75e+05, 5.09e-05, 1.000,-1.13e+06  1.13e+06
cs_other ,   -0.2932,    0.280,   -1.048, 0.294,   -0.841     0.255
race_A   ,   -0.0096,    1.265,   -0.008, 0.994,   -2.488     2.469
race_B   ,    0.7191,    0.864,    0.832, 0.405,   -0.974     2.413
race_I   ,   -0.6946,    1.695,   -0.410, 0.682,   -4.017     2.627
race_P   ,    0.1078,    0.921,    0.117, 0.907,   -1.698     1.914
race_Q   ,    0.4767,    0.875,    0.545, 0.586,   -1.238     2.192
race_U   ,   -0.9679,    1.404,   -0.690, 0.490,   -3.719     1.783
race_W   ,   28.1023, 9.11e+05, 3.08e-05, 1.000,-1.79e+06  1.79e+06
sex_0    ,   -0.8012,    0.395,   -2.030, 0.042,   -1.575    -0.028
intercept,   -0.1831,    0.884,   -0.207, 0.836,   -1.915     1.549
