                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   275   
Model:        ,Logit           ,  Df Residuals:      ,   255   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1216   
Time:         ,14:01:10        ,  Log-Likelihood:    , -165.47 
converged:    ,False           ,  LL-Null:           , -188.38 
              ,                ,  LLR p-value:       ,0.0005255
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.8756,    0.411,   -2.132, 0.033,   -1.680    -0.071
cs_objcs ,    0.0179,    0.519,    0.035, 0.972,   -0.999     1.035
cs_descr ,    0.3905,    0.372,    1.051, 0.293,   -0.338     1.119
cs_casng ,   -0.5599,    0.391,   -1.431, 0.152,   -1.327     0.207
cs_lkout ,    0.1090,    0.497,    0.219, 0.827,   -0.866     1.084
cs_cloth ,   -0.9239,    1.315,   -0.703, 0.482,   -3.501     1.654
cs_drgtr ,    0.7361,    0.608,    1.210, 0.226,   -0.456     1.929
cs_furtv ,    0.9262,    0.343,    2.702, 0.007,    0.254     1.598
cs_vcrim ,    2.4211,    1.391,    1.741, 0.082,   -0.304     5.147
cs_bulge ,    1.6660,    0.917,    1.816, 0.069,   -0.132     3.464
cs_other ,   -0.0290,    0.355,   -0.082, 0.935,   -0.724     0.666
race_A   ,   -2.2690,    1.281,   -1.771, 0.077,   -4.780     0.242
race_B   ,   -1.3330,    1.147,   -1.163, 0.245,   -3.580     0.914
race_I   ,   -2.8137,    1.925,   -1.461, 0.144,   -6.587     0.960
race_P   ,   -0.8010,    1.225,   -0.654, 0.513,   -3.202     1.600
race_Q   ,   -1.4798,    1.157,   -1.279, 0.201,   -3.747     0.787
race_U   ,  -35.0583,  1.5e+07,-2.34e-06, 1.000,-2.93e+07  2.93e+07
race_W   ,   -2.3789,    1.181,   -2.014, 0.044,   -4.694    -0.063
sex_0    ,   -0.3395,    0.522,   -0.651, 0.515,   -1.362     0.683
intercept,    1.0981,    1.168,    0.940, 0.347,   -1.191     3.387
