                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   898   
Model:        ,Logit           ,  Df Residuals:      ,   878   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1464   
Time:         ,14:01:17        ,  Log-Likelihood:    , -524.21 
converged:    ,True            ,  LL-Null:           , -614.13 
              ,                ,  LLR p-value:       ,3.325e-28
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.0137,    0.239,   -0.057, 0.954,   -0.482     0.455
cs_objcs ,   -0.5123,    0.318,   -1.610, 0.107,   -1.136     0.111
cs_descr ,    1.3403,    0.264,    5.078, 0.000,    0.823     1.858
cs_casng ,   -0.2876,    0.254,   -1.131, 0.258,   -0.786     0.211
cs_lkout ,   -0.2439,    0.255,   -0.956, 0.339,   -0.744     0.256
cs_cloth ,   -1.4753,    0.711,   -2.075, 0.038,   -2.869    -0.081
cs_drgtr ,   -0.4993,    0.206,   -2.419, 0.016,   -0.904    -0.095
cs_furtv ,    0.8887,    0.177,    5.013, 0.000,    0.541     1.236
cs_vcrim ,    2.5108,    0.625,    4.020, 0.000,    1.287     3.735
cs_bulge ,    1.9811,    0.472,    4.199, 0.000,    1.056     2.906
cs_other ,   -0.4593,    0.185,   -2.478, 0.013,   -0.823    -0.096
race_A   ,    0.0068,    0.985,    0.007, 0.994,   -1.925     1.938
race_B   ,   -0.0337,    0.472,   -0.071, 0.943,   -0.959     0.892
race_I   ,  -33.9797, 3.76e+07,-9.03e-07, 1.000,-7.37e+07  7.37e+07
race_P   ,   -0.3084,    0.515,   -0.598, 0.550,   -1.319     0.702
race_Q   ,    0.1603,    0.475,    0.338, 0.736,   -0.770     1.090
race_U   ,   34.9726, 3.87e+07, 9.03e-07, 1.000,-7.59e+07  7.59e+07
race_W   ,    0.3261,    0.737,    0.442, 0.658,   -1.119     1.771
sex_0    ,   -0.6189,    0.257,   -2.406, 0.016,   -1.123    -0.115
intercept,   -0.4473,    0.491,   -0.912, 0.362,   -1.409     0.514
