                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   190   
Model:        ,Logit           ,  Df Residuals:      ,   170   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.2428   
Time:         ,14:01:07        ,  Log-Likelihood:    , -97.127 
converged:    ,False           ,  LL-Null:           , -128.27 
              ,                ,  LLR p-value:       ,1.678e-06
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    1.7506,    0.537,    3.257, 0.001,    0.697     2.804
cs_objcs ,   -0.6412,    1.351,   -0.475, 0.635,   -3.289     2.007
cs_descr ,    1.1209,    0.551,    2.033, 0.042,    0.040     2.202
cs_casng ,   -0.4399,    0.536,   -0.821, 0.412,   -1.491     0.611
cs_lkout ,    0.1154,    0.563,    0.205, 0.838,   -0.989     1.220
cs_cloth ,    2.0885,    1.180,    1.769, 0.077,   -0.225     4.402
cs_drgtr ,    0.2041,    0.659,    0.310, 0.757,   -1.088     1.496
cs_furtv ,    1.0037,    0.488,    2.058, 0.040,    0.048     1.960
cs_vcrim ,    2.8816,    1.188,    2.426, 0.015,    0.554     5.209
cs_bulge ,   25.8316, 1.52e+05,    0.000, 1.000,-2.98e+05  2.98e+05
cs_other ,    0.3628,    0.510,    0.712, 0.477,   -0.636     1.362
race_A   ,  -22.0539, 2.78e+05,-7.92e-05, 1.000,-5.46e+05  5.46e+05
race_B   ,    2.2748,    1.635,    1.391, 0.164,   -0.930     5.480
race_I   ,  -22.0539, 2.78e+05,-7.92e-05, 1.000,-5.46e+05  5.46e+05
race_P   ,    3.1750,    1.748,    1.816, 0.069,   -0.252     6.602
race_Q   ,    3.2749,    1.699,    1.928, 0.054,   -0.055     6.604
race_U   ,    1.3189,    2.060,    0.640, 0.522,   -2.719     5.356
race_W   ,    1.7381,    1.888,    0.920, 0.357,   -1.963     5.439
sex_0    ,   -0.0071,    0.630,   -0.011, 0.991,   -1.242     1.228
intercept,   -3.3755,    1.762,   -1.916, 0.055,   -6.828     0.077
