                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   698   
Model:        ,Logit           ,  Df Residuals:      ,   678   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.2528   
Time:         ,14:01:16        ,  Log-Likelihood:    , -335.65 
converged:    ,False           ,  LL-Null:           , -449.20 
              ,                ,  LLR p-value:       ,1.302e-37
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.8127,    0.233,    3.481, 0.001,    0.355     1.270
cs_objcs ,    0.4495,    0.505,    0.890, 0.373,   -0.540     1.439
cs_descr ,    1.6344,    0.270,    6.059, 0.000,    1.106     2.163
cs_casng ,    0.8779,    0.418,    2.099, 0.036,    0.058     1.698
cs_lkout ,    0.0581,    0.343,    0.169, 0.866,   -0.615     0.731
cs_cloth ,   -0.7691,    0.521,   -1.476, 0.140,   -1.790     0.252
cs_drgtr ,   -0.9400,    0.335,   -2.808, 0.005,   -1.596    -0.284
cs_furtv ,    1.0191,    0.238,    4.274, 0.000,    0.552     1.486
cs_vcrim ,    1.3916,    0.428,    3.248, 0.001,    0.552     2.231
cs_bulge ,    2.8281,    0.539,    5.247, 0.000,    1.772     3.885
cs_other ,   -0.3660,    0.230,   -1.588, 0.112,   -0.818     0.086
race_A   ,  -58.7886, 1.04e+13,-5.63e-12, 1.000,-2.04e+13  2.04e+13
race_B   ,    0.8231,    0.414,    1.986, 0.047,    0.011     1.635
race_I   ,   26.2100, 6.41e+05, 4.09e-05, 1.000,-1.26e+06  1.26e+06
race_P   ,    0.5434,    0.507,    1.072, 0.284,   -0.450     1.537
race_Q   ,    0.5176,    0.431,    1.201, 0.230,   -0.327     1.362
race_U   ,   37.5216, 6.71e+07, 5.59e-07, 1.000,-1.32e+08  1.32e+08
race_W   ,   -0.3758,    1.018,   -0.369, 0.712,   -2.371     1.619
sex_0    ,   -0.4779,    0.303,   -1.576, 0.115,   -1.072     0.116
intercept,   -1.1014,    0.449,   -2.452, 0.014,   -1.982    -0.221
