                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   393   
Model:        ,Logit           ,  Df Residuals:      ,   373   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1510   
Time:         ,14:01:13        ,  Log-Likelihood:    , -191.93 
converged:    ,False           ,  LL-Null:           , -226.06 
              ,                ,  LLR p-value:       ,1.776e-07
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.4682,    0.289,   -1.619, 0.106,   -1.035     0.099
cs_objcs ,    0.8827,    1.117,    0.791, 0.429,   -1.306     3.071
cs_descr ,    0.9206,    0.343,    2.683, 0.007,    0.248     1.593
cs_casng ,    0.2201,    0.389,    0.566, 0.571,   -0.542     0.982
cs_lkout ,    0.6594,    0.472,    1.398, 0.162,   -0.265     1.584
cs_cloth ,   -1.4649,    0.615,   -2.384, 0.017,   -2.669    -0.260
cs_drgtr ,    1.2724,    0.699,    1.820, 0.069,   -0.098     2.643
cs_furtv ,    0.8597,    0.350,    2.459, 0.014,    0.175     1.545
cs_vcrim ,    0.9401,    0.577,    1.630, 0.103,   -0.190     2.071
cs_bulge ,   26.5952, 1.82e+05,    0.000, 1.000,-3.57e+05  3.57e+05
cs_other ,    0.3866,    0.326,    1.185, 0.236,   -0.253     1.026
race_A   ,  -28.8662, 4.99e+05,-5.78e-05, 1.000,-9.79e+05  9.79e+05
race_B   ,   -0.1778,    0.706,   -0.252, 0.801,   -1.562     1.206
race_I   ,   25.3001, 5.36e+05, 4.72e-05, 1.000,-1.05e+06  1.05e+06
race_P   ,    0.3410,    0.664,    0.514, 0.607,   -0.960     1.642
race_Q   ,    0.0766,    0.653,    0.117, 0.907,   -1.203     1.356
race_U   ,  -27.5730, 5.65e+05,-4.88e-05, 1.000,-1.11e+06  1.11e+06
race_W   ,   -0.3240,    0.839,   -0.386, 0.699,   -1.968     1.320
sex_0    ,   -1.8087,    0.599,   -3.021, 0.003,   -2.982    -0.635
intercept,    0.1644,    0.712,    0.231, 0.817,   -1.231     1.560
