                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   594   
Model:        ,Logit           ,  Df Residuals:      ,   574   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1127   
Time:         ,14:01:15        ,  Log-Likelihood:    , -357.51 
converged:    ,False           ,  LL-Null:           , -402.93 
              ,                ,  LLR p-value:       ,2.352e-11
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.3659,    0.267,   -1.369, 0.171,   -0.890     0.158
cs_objcs ,   -0.0287,    0.366,   -0.078, 0.937,   -0.746     0.689
cs_descr ,    0.3640,    0.250,    1.454, 0.146,   -0.127     0.855
cs_casng ,    0.6677,    0.298,    2.244, 0.025,    0.084     1.251
cs_lkout ,   -0.5668,    0.358,   -1.582, 0.114,   -1.269     0.135
cs_cloth ,   -0.2631,    0.545,   -0.483, 0.629,   -1.331     0.805
cs_drgtr ,    0.5809,    0.276,    2.101, 0.036,    0.039     1.123
cs_furtv ,    1.3092,    0.239,    5.480, 0.000,    0.841     1.777
cs_vcrim ,    0.9371,    0.448,    2.091, 0.037,    0.059     1.816
cs_bulge ,   30.0239, 7.89e+05,  3.8e-05, 1.000,-1.55e+06  1.55e+06
cs_other ,    0.8578,    0.232,    3.697, 0.000,    0.403     1.312
race_A   ,   -0.8752,    0.715,   -1.225, 0.221,   -2.276     0.525
race_B   ,    0.0222,    0.551,    0.040, 0.968,   -1.058     1.102
race_I   ,  -22.7548, 8.19e+04,   -0.000, 1.000,-1.61e+05   1.6e+05
race_P   ,    0.4455,    0.634,    0.703, 0.482,   -0.796     1.687
race_Q   ,   -0.0242,    0.556,   -0.044, 0.965,   -1.114     1.066
race_U   ,   -0.7709,    0.854,   -0.903, 0.367,   -2.445     0.903
race_W   ,    0.1000,    0.576,    0.174, 0.862,   -1.029     1.229
sex_0    ,   -0.9383,    0.326,   -2.874, 0.004,   -1.578    -0.298
intercept,   -0.5391,    0.579,   -0.930, 0.352,   -1.675     0.597
