                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   676   
Model:        ,Logit           ,  Df Residuals:      ,   656   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.2263   
Time:         ,14:01:15        ,  Log-Likelihood:    , -275.86 
converged:    ,False           ,  LL-Null:           , -356.54 
              ,                ,  LLR p-value:       ,1.377e-24
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    1.3972,    0.391,    3.577, 0.000,    0.632     2.163
cs_objcs ,   -1.1326,    0.684,   -1.657, 0.098,   -2.473     0.207
cs_descr ,    0.1040,    0.295,    0.352, 0.725,   -0.475     0.683
cs_casng ,   -0.2980,    0.316,   -0.944, 0.345,   -0.916     0.320
cs_lkout ,    1.3219,    0.422,    3.135, 0.002,    0.495     2.148
cs_cloth ,    0.8764,    0.523,    1.676, 0.094,   -0.148     1.901
cs_drgtr ,    0.0035,    0.552,    0.006, 0.995,   -1.078     1.085
cs_furtv ,    1.8670,    0.282,    6.612, 0.000,    1.314     2.420
cs_vcrim ,    0.4967,    0.387,    1.284, 0.199,   -0.261     1.255
cs_bulge ,    3.0058,    0.754,    3.984, 0.000,    1.527     4.485
cs_other ,   -0.1344,    0.249,   -0.540, 0.589,   -0.622     0.354
race_A   ,   -0.4433,    1.300,   -0.341, 0.733,   -2.990     2.104
race_B   ,    0.3310,    0.882,    0.375, 0.707,   -1.398     2.060
race_I   ,    0.2101,    1.288,    0.163, 0.870,   -2.315     2.735
race_P   ,    0.5685,    1.538,    0.370, 0.712,   -2.446     3.583
race_Q   ,   -0.1612,    1.065,   -0.151, 0.880,   -2.249     1.927
race_U   ,   26.7108, 2.84e+06, 9.39e-06, 1.000,-5.57e+06  5.57e+06
race_W   ,    0.2569,    1.234,    0.208, 0.835,   -2.162     2.675
sex_0    ,   -1.7796,    0.500,   -3.562, 0.000,   -2.759    -0.800
intercept,    0.0040,    0.938,    0.004, 0.997,   -1.834     1.843
