                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,  1817   
Model:        ,Logit           ,  Df Residuals:      ,  1797   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1615   
Time:         ,14:01:19        ,  Log-Likelihood:    , -956.65 
converged:    ,False           ,  LL-Null:           , -1140.9 
              ,                ,  LLR p-value:       ,1.459e-66
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.2435,    0.122,   -1.998, 0.046,   -0.482    -0.005
cs_objcs ,    1.0437,    0.353,    2.958, 0.003,    0.352     1.735
cs_descr ,    0.7874,    0.180,    4.384, 0.000,    0.435     1.139
cs_casng ,    0.2370,    0.144,    1.649, 0.099,   -0.045     0.519
cs_lkout ,    0.1159,    0.153,    0.758, 0.448,   -0.184     0.415
cs_cloth ,    0.7979,    0.316,    2.526, 0.012,    0.179     1.417
cs_drgtr ,    0.0099,    0.156,    0.064, 0.949,   -0.295     0.315
cs_furtv ,    0.5973,    0.118,    5.051, 0.000,    0.366     0.829
cs_vcrim ,    1.8242,    0.274,    6.655, 0.000,    1.287     2.361
cs_bulge ,    3.8455,    0.590,    6.516, 0.000,    2.689     5.002
cs_other ,   -0.3304,    0.133,   -2.485, 0.013,   -0.591    -0.070
race_A   ,   23.1954, 6.56e+04,    0.000, 1.000,-1.28e+05  1.29e+05
race_B   ,   23.5033, 6.56e+04,    0.000, 1.000,-1.28e+05  1.29e+05
race_I   ,   22.0122, 6.56e+04,    0.000, 1.000,-1.28e+05  1.29e+05
race_P   ,   23.8595, 6.56e+04,    0.000, 1.000,-1.28e+05  1.29e+05
race_Q   ,   23.0227, 6.56e+04,    0.000, 1.000,-1.28e+05  1.29e+05
race_U   ,   23.0957, 6.56e+04,    0.000, 1.000,-1.28e+05  1.29e+05
race_W   ,   23.3038, 6.56e+04,    0.000, 1.000,-1.28e+05  1.29e+05
sex_0    ,   -0.8837,    0.218,   -4.047, 0.000,   -1.312    -0.456
intercept,  -23.2603, 6.56e+04,   -0.000, 1.000,-1.29e+05  1.28e+05
