                   Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   427  
Model:        ,Logit           ,  Df Residuals:      ,   407  
Method:       ,MLE             ,  Df Model:          ,    19  
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.04225 
Time:         ,14:01:28        ,  Log-Likelihood:    , -222.59
converged:    ,False           ,  LL-Null:           , -232.41
              ,                ,  LLR p-value:       ,0.4166  
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.3032,    0.309,   -0.980, 0.327,   -0.910     0.303
cs_objcs ,    0.5324,    0.570,    0.933, 0.351,   -0.586     1.650
cs_descr ,   -0.3163,    0.290,   -1.091, 0.275,   -0.884     0.252
cs_casng ,    0.1121,    0.426,    0.263, 0.792,   -0.723     0.947
cs_lkout ,   -0.7502,    0.522,   -1.437, 0.151,   -1.774     0.273
cs_cloth ,   -1.0852,    1.102,   -0.985, 0.325,   -3.245     1.075
cs_drgtr ,   -0.8411,    0.465,   -1.809, 0.070,   -1.752     0.070
cs_furtv ,    0.4465,    0.287,    1.554, 0.120,   -0.117     1.010
cs_vcrim ,    0.3488,    0.413,    0.845, 0.398,   -0.460     1.158
cs_bulge ,   -0.4850,    0.548,   -0.885, 0.376,   -1.560     0.590
cs_other ,   -0.3457,    0.288,   -1.201, 0.230,   -0.910     0.218
race_A   ,    0.8881,    1.575,    0.564, 0.573,   -2.199     3.975
race_B   ,    1.0821,    1.121,    0.965, 0.334,   -1.115     3.279
race_I   ,  -30.7399, 9.05e+06,-3.39e-06, 1.000,-1.77e+07  1.77e+07
race_P   ,    1.0165,    1.174,    0.866, 0.387,   -1.285     3.318
race_Q   ,    1.0645,    1.131,    0.941, 0.347,   -1.153     3.282
race_U   ,    1.8233,    1.511,    1.206, 0.228,   -1.139     4.785
race_W   ,    2.4987,    1.832,    1.364, 0.173,   -1.093     6.090
sex_0    ,   -0.5352,    0.479,   -1.117, 0.264,   -1.475     0.404
intercept,   -1.8432,    1.129,   -1.632, 0.103,   -4.057     0.370
