                   Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   346  
Model:        ,Logit           ,  Df Residuals:      ,   326  
Method:       ,MLE             ,  Df Model:          ,    19  
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1400  
Time:         ,14:01:26        ,  Log-Likelihood:    , -118.23
converged:    ,False           ,  LL-Null:           , -137.48
              ,                ,  LLR p-value:       ,0.005137
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.7171,    0.459,   -1.562, 0.118,   -1.617     0.183
cs_objcs ,   -0.5230,    0.814,   -0.642, 0.521,   -2.119     1.073
cs_descr ,   -0.4132,    0.488,   -0.847, 0.397,   -1.369     0.542
cs_casng ,   -1.1133,    0.701,   -1.587, 0.112,   -2.488     0.262
cs_lkout ,   -0.7135,    1.139,   -0.626, 0.531,   -2.946     1.519
cs_cloth ,   -0.5938,    0.992,   -0.599, 0.549,   -2.538     1.351
cs_drgtr ,    0.5227,    0.649,    0.805, 0.421,   -0.750     1.795
cs_furtv ,    0.6325,    0.375,    1.686, 0.092,   -0.103     1.368
cs_vcrim ,    1.1511,    0.675,    1.706, 0.088,   -0.171     2.474
cs_bulge ,    1.3982,    0.558,    2.505, 0.012,    0.304     2.492
cs_other ,    1.0760,    0.400,    2.688, 0.007,    0.291     1.861
race_A   ,  -10.1616, 2.68e+07,-3.79e-07, 1.000,-5.26e+07  5.26e+07
race_B   ,   23.2734, 1.37e+05,    0.000, 1.000,-2.69e+05  2.69e+05
race_I   ,  -12.4355, 1.05e+08,-1.18e-07, 1.000,-2.06e+08  2.06e+08
race_P   ,   22.9113, 1.37e+05,    0.000, 1.000,-2.69e+05  2.69e+05
race_Q   ,   23.1570, 1.37e+05,    0.000, 1.000,-2.69e+05  2.69e+05
race_U   ,   -8.8382, 1.06e+08,-8.31e-08, 1.000,-2.08e+08  2.08e+08
race_W   ,   23.4975, 1.37e+05,    0.000, 1.000,-2.69e+05  2.69e+05
sex_0    ,    0.2457,    0.620,    0.397, 0.692,   -0.969     1.460
intercept,  -25.5829, 1.37e+05,   -0.000, 1.000,-2.69e+05  2.69e+05
