                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,  1934   
Model:        ,Logit           ,  Df Residuals:      ,  1914   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1237   
Time:         ,14:01:37        ,  Log-Likelihood:    , -761.73 
converged:    ,False           ,  LL-Null:           , -869.24 
              ,                ,  LLR p-value:       ,3.440e-35
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.0453,    0.207,   -0.219, 0.827,   -0.451     0.360
cs_objcs ,    0.7980,    0.463,    1.722, 0.085,   -0.110     1.706
cs_descr ,    0.5632,    0.159,    3.536, 0.000,    0.251     0.875
cs_casng ,   -0.2558,    0.197,   -1.298, 0.194,   -0.642     0.130
cs_lkout ,   -1.4748,    0.327,   -4.513, 0.000,   -2.115    -0.834
cs_cloth ,   -0.9509,    0.384,   -2.477, 0.013,   -1.703    -0.198
cs_drgtr ,   -1.0713,    0.251,   -4.273, 0.000,   -1.563    -0.580
cs_furtv ,    0.5968,    0.141,    4.240, 0.000,    0.321     0.873
cs_vcrim ,   -0.8524,    0.242,   -3.524, 0.000,   -1.326    -0.378
cs_bulge ,    0.8067,    0.196,    4.110, 0.000,    0.422     1.191
cs_other ,   -0.8001,    0.196,   -4.085, 0.000,   -1.184    -0.416
race_A   ,    1.4485,    1.140,    1.271, 0.204,   -0.785     3.682
race_B   ,    0.7894,    0.792,    0.996, 0.319,   -0.763     2.342
race_I   ,  -27.8217, 1.46e+06,-1.91e-05, 1.000,-2.86e+06  2.86e+06
race_P   ,    1.5674,    0.826,    1.898, 0.058,   -0.051     3.186
race_Q   ,    0.8965,    0.807,    1.111, 0.267,   -0.685     2.478
race_U   ,  -37.3670, 3.43e+08,-1.09e-07, 1.000,-6.72e+08  6.72e+08
race_W   ,    0.8796,    0.822,    1.071, 0.284,   -0.731     2.490
sex_0    ,   -0.6878,    0.339,   -2.030, 0.042,   -1.352    -0.024
intercept,   -2.4565,    0.811,   -3.029, 0.002,   -4.046    -0.867
