                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   762   
Model:        ,Logit           ,  Df Residuals:      ,   742   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.07003  
Time:         ,14:01:32        ,  Log-Likelihood:    , -447.76 
converged:    ,False           ,  LL-Null:           , -481.48 
              ,                ,  LLR p-value:       ,2.437e-07
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.2740,    0.294,   -0.931, 0.352,   -0.851     0.303
cs_objcs ,    0.1381,    0.481,    0.287, 0.774,   -0.805     1.081
cs_descr ,   -0.5128,    0.228,   -2.252, 0.024,   -0.959    -0.066
cs_casng ,   -0.6007,    0.293,   -2.049, 0.041,   -1.175    -0.026
cs_lkout ,    0.1424,    0.335,    0.425, 0.671,   -0.514     0.799
cs_cloth ,    0.2691,    0.462,    0.583, 0.560,   -0.636     1.174
cs_drgtr ,    0.6216,    0.288,    2.155, 0.031,    0.056     1.187
cs_furtv ,   -0.1267,    0.190,   -0.667, 0.505,   -0.499     0.246
cs_vcrim ,   -0.4413,    0.333,   -1.323, 0.186,   -1.095     0.212
cs_bulge ,    0.8240,    0.309,    2.663, 0.008,    0.217     1.431
cs_other ,    0.4872,    0.201,    2.423, 0.015,    0.093     0.881
race_A   ,  -22.8857,  8.6e+04,   -0.000, 1.000,-1.69e+05  1.68e+05
race_B   ,    0.7280,    0.257,    2.837, 0.005,    0.225     1.231
race_I   ,  -27.0235, 2.05e+06,-1.32e-05, 1.000,-4.02e+06  4.02e+06
race_P   ,    1.0465,    0.391,    2.675, 0.007,    0.280     1.813
race_Q   ,    0.6396,    0.316,    2.024, 0.043,    0.020     1.259
race_U   ,   -0.4409,    0.676,   -0.653, 0.514,   -1.765     0.883
race_W   ,    1.5966,    0.477,    3.350, 0.001,    0.662     2.531
sex_0    ,   -0.3371,    0.270,   -1.250, 0.211,   -0.866     0.191
intercept,   -1.3281,    0.303,   -4.383, 0.000,   -1.922    -0.734
