                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,   676   
Model:        ,Logit           ,  Df Residuals:      ,   656   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1003   
Time:         ,14:01:31        ,  Log-Likelihood:    , -204.35 
converged:    ,False           ,  LL-Null:           , -227.13 
              ,                ,  LLR p-value:       ,0.0005712
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.4278,    0.472,   -0.907, 0.364,   -1.352     0.497
cs_objcs ,    0.0700,    1.095,    0.064, 0.949,   -2.076     2.216
cs_descr ,    0.7921,    0.363,    2.181, 0.029,    0.080     1.504
cs_casng ,   -0.4413,    0.495,   -0.892, 0.373,   -1.411     0.529
cs_lkout ,   -1.2627,    1.084,   -1.165, 0.244,   -3.388     0.862
cs_cloth ,    0.3159,    0.524,    0.603, 0.547,   -0.712     1.343
cs_drgtr ,    0.9171,    0.602,    1.523, 0.128,   -0.263     2.097
cs_furtv ,    0.0901,    0.290,    0.311, 0.756,   -0.479     0.659
cs_vcrim ,   -0.4715,    0.634,   -0.744, 0.457,   -1.713     0.770
cs_bulge ,    1.6240,    0.355,    4.574, 0.000,    0.928     2.320
cs_other ,    0.1432,    0.307,    0.466, 0.641,   -0.459     0.745
race_A   ,  -26.0112,  5.1e+05, -5.1e-05, 1.000,-9.99e+05  9.99e+05
race_B   ,   -0.4975,    1.113,   -0.447, 0.655,   -2.679     1.684
race_I   ,    0.6370,    1.597,    0.399, 0.690,   -2.494     3.768
race_P   ,    0.1955,    1.616,    0.121, 0.904,   -2.973     3.364
race_Q   ,   -0.3621,    1.372,   -0.264, 0.792,   -3.052     2.328
race_U   ,  -21.9980, 8.43e+04,   -0.000, 1.000,-1.65e+05  1.65e+05
race_W   ,    0.2632,    1.377,    0.191, 0.848,   -2.436     2.963
sex_0    ,   -0.0474,    0.799,   -0.059, 0.953,   -1.612     1.518
intercept,   -2.3097,    1.172,   -1.971, 0.049,   -4.606    -0.013
