                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,  1366   
Model:        ,Logit           ,  Df Residuals:      ,  1346   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1385   
Time:         ,14:01:36        ,  Log-Likelihood:    , -515.15 
converged:    ,False           ,  LL-Null:           , -598.00 
              ,                ,  LLR p-value:       ,1.983e-25
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    0.5215,    0.170,    3.059, 0.002,    0.187     0.856
cs_objcs ,    0.7919,    0.439,    1.805, 0.071,   -0.068     1.652
cs_descr ,    0.6544,    0.220,    2.973, 0.003,    0.223     1.086
cs_casng ,   -0.3713,    0.194,   -1.915, 0.055,   -0.751     0.009
cs_lkout ,    0.8357,    0.187,    4.468, 0.000,    0.469     1.202
cs_cloth ,    0.3823,    0.364,    1.051, 0.293,   -0.331     1.095
cs_drgtr ,   -1.0037,    0.805,   -1.247, 0.212,   -2.581     0.574
cs_furtv ,    1.2511,    0.185,    6.768, 0.000,    0.889     1.613
cs_vcrim ,   -0.8198,    0.382,   -2.149, 0.032,   -1.568    -0.072
cs_bulge ,    2.6103,    0.358,    7.296, 0.000,    1.909     3.312
cs_other ,    0.7567,    0.239,    3.168, 0.002,    0.289     1.225
race_A   ,    0.6578,    0.677,    0.972, 0.331,   -0.669     1.984
race_B   ,    0.7214,    0.660,    1.093, 0.274,   -0.572     2.015
race_I   ,    0.1537,    0.854,    0.180, 0.857,   -1.519     1.827
race_P   ,    0.3743,    0.808,    0.463, 0.643,   -1.210     1.958
race_Q   ,    0.7225,    0.669,    1.080, 0.280,   -0.589     2.034
race_U   ,    1.3128, 9.53e+07, 1.38e-08, 1.000,-1.87e+08  1.87e+08
race_W   ,    0.6618,    0.672,    0.985, 0.325,   -0.655     1.979
sex_0    ,  -34.9323,  1.1e+07,-3.17e-06, 1.000,-2.16e+07  2.16e+07
intercept,   -3.7671,    0.697,   -5.408, 0.000,   -5.132    -2.402
