                    Logit Regression Results                   
Dep. Variable:,searched        ,  No. Observations:  ,  1065   
Model:        ,Logit           ,  Df Residuals:      ,  1045   
Method:       ,MLE             ,  Df Model:          ,    19   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.1323   
Time:         ,14:01:34        ,  Log-Likelihood:    , -273.80 
converged:    ,True            ,  LL-Null:           , -315.56 
              ,                ,  LLR p-value:       ,4.555e-10
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,   -0.1739,    0.266,   -0.653, 0.514,   -0.696     0.348
cs_objcs ,    0.6413,    0.504,    1.273, 0.203,   -0.346     1.629
cs_descr ,   -0.1162,    0.309,   -0.376, 0.707,   -0.722     0.490
cs_casng ,   -1.9609,    0.554,   -3.541, 0.000,   -3.046    -0.876
cs_lkout ,    0.2648,    0.438,    0.604, 0.546,   -0.595     1.124
cs_cloth ,    1.1422,    0.469,    2.434, 0.015,    0.222     2.062
cs_drgtr ,    0.2816,    0.394,    0.715, 0.474,   -0.490     1.053
cs_furtv ,   -0.3212,    0.251,   -1.279, 0.201,   -0.814     0.171
cs_vcrim ,    0.3361,    0.406,    0.828, 0.408,   -0.460     1.132
cs_bulge ,    2.0921,    0.390,    5.365, 0.000,    1.328     2.856
cs_other ,    0.6664,    0.274,    2.431, 0.015,    0.129     1.204
race_A   ,   -3.8978,    1.778,   -2.193, 0.028,   -7.382    -0.414
race_B   ,   -2.9988,    1.452,   -2.066, 0.039,   -5.844    -0.153
race_I   ,  -67.9380, 2.98e+14,-2.28e-13, 1.000,-5.83e+14  5.83e+14
race_P   ,   -2.5484,    1.527,   -1.669, 0.095,   -5.541     0.444
race_Q   ,   -2.9274,    1.474,   -1.986, 0.047,   -5.816    -0.039
race_U   ,   -1.6347,    1.886,   -0.867, 0.386,   -5.332     2.063
race_W   ,   -3.0257,    1.507,   -2.008, 0.045,   -5.978    -0.073
sex_0    ,    0.5467,    0.367,    1.489, 0.137,   -0.173     1.266
intercept,    0.4508,    1.482,    0.304, 0.761,   -2.454     3.356
