                   Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  , 45787  
Model:        ,Logit           ,  Df Residuals:      , 45697  
Method:       ,MLE             ,  Df Model:          ,    89  
Date:         ,Tue, 01 Dec 2015,  Pseudo R-squ.:     ,0.1301  
Time:         ,22:44:07        ,  Log-Likelihood:    , -25458.
converged:    ,True            ,  LL-Null:           , -29267.
              ,                ,  LLR p-value:       , 0.000  
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
pct_108  ,    1.0085,    0.208,    4.858, 0.000,    0.602     1.415
pct_109  ,    0.7432,    0.141,    5.267, 0.000,    0.467     1.020
pct_110  ,    1.2493,    0.190,    6.561, 0.000,    0.876     1.622
pct_111  ,    1.4201,    0.155,    9.157, 0.000,    1.116     1.724
pct_112  ,    1.3834,    0.148,    9.327, 0.000,    1.093     1.674
pct_113  ,    1.5716,    0.157,   10.013, 0.000,    1.264     1.879
pct_114  ,    1.6065,    0.142,   11.275, 0.000,    1.327     1.886
pct_115  ,    1.3854,    0.198,    6.993, 0.000,    0.997     1.774
pct_120  ,    0.7010,    0.132,    5.301, 0.000,    0.442     0.960
pct_121  ,    1.1340,    0.133,    8.511, 0.000,    0.873     1.395
pct_122  ,    0.7623,    0.140,    5.458, 0.000,    0.489     1.036
intercept,   -1.1049,    0.124,   -8.891, 0.000,   -1.349    -0.861
